ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"Aplf"	"Aplf"	chr6	-	87628428	87630175	87628428	87629921	87630015	87630175
2	"Rnf41"	"Rnf41"	chr10	+	128438082	128441441	128438082	128438459	128438807	128441441
3	"Rnf41"	"Rnf41"	chr10	+	128438082	128441441	128438082	128438459	128439512	128441441
4	"Tspan8"	"Tspan8"	chr10	+	115817283	115817660	115817283	115817386	115817492	115817660
5	"Tspan8"	"Tspan8"	chr10	+	115817283	115817660	115817283	115817350	115817492	115817660
6	"Map7d1"	"Map7d1"	chr4	-	126236895	126237278	126236895	126237059	126237155	126237278
7	"Apoc1"	"Apoc1"	chr7	-	19692410	19692659	19692410	19692486	19692608	19692659
8	"Rp2h"	"Rp2h"	chrX	+	20397651	20400858	20397651	20397746	20400769	20400858
9	"Tomm40"	"Tomm40"	chr7	-	19714980	19715429	19714980	19715259	19715357	19715429
10	"Adcy9"	"Adcy9"	chr16	-	4417852	4419588	4417852	4418972	4419195	4419588
11	"Synm"	"Synm"	chr7	-	67730160	67736906	67730160	67733553	67734459	67736906
12	"Lrrc51"	"Lrrc51"	chr7	-	101912988	101913583	101912988	101913212	101913434	101913583
13	"Zfp960"	"Zfp960"	chr17	+	17087243	17089631	17087243	17088055	17089232	17089631
14	"Tardbp"	"Tardbp"	chr4	-	148612381	148617705	148612381	148616844	148617565	148617705
15	"Tardbp"	"Tardbp"	chr4	-	148612381	148618791	148612381	148617635	148618664	148618791
16	"Tardbp"	"Tardbp"	chr4	-	148612381	148618791	148612381	148617705	148618646	148618791
17	"Tardbp"	"Tardbp"	chr4	-	148612381	148618791	148612381	148617705	148618664	148618791
18	"Tardbp"	"Tardbp"	chr4	-	148612381	148618791	148612381	148617705	148618673	148618791
19	"H2-T10"	"H2-T10"	chr17	-	36120184	36120432	36120184	36120286	36120297	36120432
20	"Slc39a7"	"Slc39a7"	chr17	-	34030823	34031690	34030823	34031262	34031547	34031690
21	"Tufm"	"Tufm"	chr7	+	126489551	126489911	126489551	126489703	126489791	126489911
22	"Vav1"	"Vav1"	chr17	+	57279099	57279401	57279099	57279284	57279356	57279401
23	"Pdzk1ip1"	"Pdzk1ip1"	chr4	+	115088707	115089212	115088707	115088806	115089038	115089212
24	"Pdzk1ip1"	"Pdzk1ip1"	chr4	+	115088707	115089212	115088707	115088776	115089079	115089212
25	"Parp10"	"Parp10"	chr15	-	76243063	76243440	76243063	76243242	76243346	76243440
26	"Atp1a3"	"Atp1a3"	chr7	-	24978168	24979005	24978168	24978576	24978913	24979005
27	"Adam11"	"Adam11"	chr11	+	102777630	102780262	102777630	102777648	102778130	102780262
28	"Phc3"	"Phc3"	chr3	-	30936284	30937156	30936284	30936599	30936725	30937156
29	"Artn"	"Artn"	chr4	-	117927623	117928142	117927623	117927761	117928019	117928142
30	"Nfatc4"	"Nfatc4"	chr14	+	55832222	55833943	55832222	55832804	55833556	55833943
31	"Nanog"	"Nanog"	chr6	+	122707564	122707933	122707564	122707608	122707811	122707933
32	"Pax3"	"Pax3"	chr1	-	78101266	78103574	78101266	78102835	78103327	78103574
33	"Luc7l"	"Luc7l"	chr17	+	26253973	26255125	26253973	26254044	26255030	26255125
34	"Mdfi"	"Mdfi"	chr17	-	47832943	47833291	47832943	47833030	47833244	47833291
35	"Cep97"	"Cep97"	chr16	-	55924360	55925070	55924360	55924850	55924968	55925070
36	"Cep97"	"Cep97"	chr16	-	55924360	55925070	55924360	55924679	55924968	55925070
37	"Slc33a1"	"Slc33a1"	chr3	-	63942323	63943416	63942323	63942529	63943221	63943416
38	"Ap5s1"	"Ap5s1"	chr2	+	131212446	131213514	131212446	131212736	131212825	131213514
39	"Ap5s1"	"Ap5s1"	chr2	+	131212446	131213514	131212446	131212736	131213169	131213514
40	"Rtkn"	"Rtkn"	chr6	+	83137083	83138246	83137083	83137456	83137960	83138246
41	"Zfp189"	"Zfp189"	chr4	+	49521175	49521595	49521175	49521251	49521422	49521595
42	"Cdh8"	"Cdh8"	chr8	-	99028768	99031058	99028768	99029911	99030875	99031058
43	"Zcchc2"	"Zcchc2"	chr1	+	106029751	106034079	106029751	106031233	106032095	106034079
44	"Nip7"	"Nip7"	chr8	+	107057092	107057411	107057092	107057179	107057272	107057411
45	"Runx2"	"Runx2"	chr17	-	44814168	44814627	44814168	44814292	44814489	44814627
46	"Runx2"	"Runx2"	chr17	-	44814168	44814627	44814168	44814292	44814456	44814627
47	"Lilra6"	"Lilra6"	chr7	-	3915251	3915501	3915251	3915287	3915441	3915501
48	"Suds3"	"Suds3"	chr5	-	117091677	117093031	117091677	117092856	117092945	117093031
49	"B3gnt9"	"B3gnt9"	chr8	-	105252637	105255153	105252637	105254842	105255030	105255153
50	"Cenpl"	"Cenpl"	chr1	+	161082907	161086343	161082907	161083450	161085987	161086343
51	"Stau1"	"Stau1"	chr2	-	166950780	166951100	166950780	166950854	166950939	166951100
52	"Gng2"	"Gng2"	chr14	-	19976957	19977249	19976957	19976997	19977145	19977249
53	"Prnd"	"Prnd"	chr2	+	131953008	131956131	131953008	131953582	131954790	131956131
54	"Prnd"	"Prnd"	chr2	+	131953008	131956131	131953008	131953582	131954820	131956131
55	"Tmem33"	"Tmem33"	chr5	+	67286095	67291461	67286095	67286216	67287009	67291461
56	"Tmem33"	"Tmem33"	chr5	+	67260564	67261033	67260564	67260806	67260963	67261033
57	"Abhd10"	"Abhd10"	chr16	-	45729724	45731959	45729724	45729993	45731706	45731959
58	"1810009A15Rik"	"1810009A15Rik"	chr19	+	8888882	8889248	8888882	8888964	8889123	8889248
59	"Yipf2"	"Yipf2"	chr9	-	21592527	21592831	21592527	21592588	21592726	21592831
60	"Yipf2"	"Yipf2"	chr9	-	21588681	21589760	21588681	21589558	21589634	21589760
61	"Yipf2"	"Yipf2"	chr9	-	21592527	21592831	21592527	21592588	21592736	21592831
62	"Tgif2"	"Tgif2"	chr2	+	156853128	156855569	156853128	156853228	156853345	156855569
63	"Il1rap"	"Il1rap"	chr16	+	26722355	26725147	26722355	26722931	26723220	26725147
64	"Morc4"	"Morc4"	chrX	-	139821634	139823413	139821634	139822828	139823129	139823413
65	"Fam166b"	"Fam166b"	chr4	-	43427019	43427839	43427019	43427710	43427787	43427839
66	"Gpm6b"	"Gpm6b"	chrX	+	166385390	166389033	166385390	166385481	166386951	166389033
67	"Sapcd1"	"Sapcd1"	chr17	-	35025972	35026457	35025972	35026147	35026337	35026457
68	"1700071M16Rik"	"1700071M16Rik"	chr17	-	43589772	43591509	43589772	43589877	43591421	43591509
69	"Dnajb2"	"Dnajb2"	chr1	+	75243457	75245692	75243457	75243661	75244793	75245692
70	"Mov10"	"Mov10"	chr3	-	104817935	104818305	104817935	104818156	104818257	104818305
71	"Ins2"	"Ins2"	chr7	-	142679346	142679708	142679346	142679547	142679661	142679708
72	"Ins2"	"Ins2"	chr7	-	142679346	142679708	142679346	142679559	142679661	142679708
73	"Yes1"	"Yes1"	chr5	+	32684550	32687066	32684550	32684806	32686520	32687066
74	"Ager"	"Ager"	chr17	+	34597849	34598247	34597849	34597945	34598140	34598247
75	"Sra1"	"Sra1"	chr18	-	36670003	36670311	36670003	36670129	36670247	36670311
76	"Ampd2"	"Ampd2"	chr3	-	108086217	108086666	108086217	108086352	108086438	108086666
77	"Fxr1"	"Fxr1"	chr3	+	34058023	34058231	34058023	34058081	34058168	34058231
78	"Mthfsd"	"Mthfsd"	chr8	-	121097556	121099152	121097556	121097925	121098707	121099152
79	"Znrf1"	"Znrf1"	chr8	+	111621595	111626030	111621595	111621687	111622798	111626030
80	"Il21"	"Il21"	chr3	-	37222758	37225526	37222758	37225360	37225448	37225526
81	"Ap4b1"	"Ap4b1"	chr3	+	103809516	103810057	103809516	103809654	103809867	103810057
82	"Trmt61a"	"Trmt61a"	chr12	+	111678104	111678962	111678104	111678161	111678602	111678962
