IID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"Mefv"	"Mefv"	chr16	-	3708195	3708227	3707214	3708032	3708544	3708837
2	"Pdcd6ip"	"Pdcd6ip"	chr9	-	113678305	113678429	113674324	113674502	113679952	113680175
3	"Ddx50"	"Ddx50"	chr10	-	62627520	62627682	62626162	62626282	62633976	62634126
4	"Ddx50"	"Ddx50"	chr10	-	62639860	62640006	62633976	62634126	62640446	62640632
5	"Ddx50"	"Ddx50"	chr10	-	62625144	62625218	62624767	62624927	62626162	62626282
6	"Cdc7"	"Cdc7"	chr5	+	106974600	106974696	106973776	106974020	106975484	106975660
7	"Cdc7"	"Cdc7"	chr5	+	106976629	106976712	106975484	106975660	106979294	106979444
8	"Cdc7"	"Cdc7"	chr5	+	106979294	106979444	106975484	106975660	106982963	106984439
9	"Zfp94"	"Zfp94"	chr7	-	24311464	24311503	24309070	24309197	24312381	24312495
10	"Grik1"	"Grik1"	chr16	-	87896808	87896895	87895896	87896351	87914153	87914404
11	"Kin"	"Kin"	chr2	+	10090112	10090156	10085729	10085824	10090240	10090363
12	"Setx"	"Setx"	chr2	+	29125851	29125963	29124991	29125549	29126873	29127063
13	"Edrf1"	"Edrf1"	chr7	+	133646989	133647091	133643992	133644149	133647344	133647466
14	"Mccc1"	"Mccc1"	chr3	-	35968423	35968473	35964326	35964464	35972477	35972564
15	"Mccc1"	"Mccc1"	chr3	-	35972477	35972564	35964326	35964464	35974073	35974290
16	"Mccc1"	"Mccc1"	chr3	-	35997524	35997571	35995780	35995917	36000480	36000678
17	"Crabp1"	"Crabp1"	chr9	+	54768383	54768497	54765482	54765661	54772825	54773110
18	"Ten1"	"Ten1"	chr11	+	116205610	116205768	116198854	116198983	116214838	116215318
19	"Ten1"	"Ten1"	chr11	+	116205610	116205768	116204844	116204979	116214838	116215318
20	"Ten1"	"Ten1"	chr11	+	116204844	116204979	116198854	116198983	116214838	116215318
21	"Ten1"	"Ten1"	chr11	+	116204844	116204979	116198854	116198983	116205610	116205768
22	"Cdk13"	"Cdk13"	chr13	-	17750256	17750313	17739090	17739192	17751670	17751860
23	"Pnpla6"	"Pnpla6"	chr8	+	3516509	3516568	3515383	3515556	3516680	3516749
24	"Cyba"	"Cyba"	chr8	-	122426935	122427019	122426185	122426267	122427228	122427303
25	"Nlgn1"	"Nlgn1"	chr3	-	25920177	25920237	25912641	25912794	26133241	26134052
26	"Arhgap44"	"Arhgap44"	chr11	-	65024190	65024304	65023125	65023217	65026803	65026884
27	"Arhgap44"	"Arhgap44"	chr11	-	65067079	65067156	65059823	65059935	65074436	65074541
28	"Arhgap44"	"Arhgap44"	chr11	-	65005453	65005505	65002038	65003450	65008062	65008440
29	"Zfyve19"	"Zfyve19"	chr2	+	119216431	119216541	119216208	119216307	119216628	119217050
30	"Lsm2"	"Lsm2"	chr17	+	34982619	34982687	34981853	34982085	34985108	34985139
31	"Lsm2"	"Lsm2"	chr17	+	34984979	34985008	34982619	34982687	34985108	34985139
32	"Ccdc109b"	"Ccdc109b"	chr3	-	129918585	129918746	129916938	129917142	129933582	129933753
