ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"FCAMR"	"FCAMR"	chr1	-	206970086	206970625	206970086	206970220	206970303	206970625
2	"DERL3"	"DERL3"	chr22	-	23834502	23837154	23834502	23834932	23837063	23837154
3	"DERL3"	"DERL3"	chr22	-	70864	73516	70864	71294	73425	73516
4	"DERL3"	"DERL3"	chr22	-	70864	73516	70864	73324	73425	73516
5	"DERL3"	"DERL3"	chr22	-	23834502	23837154	23834502	23836962	23837063	23837154
6	"CYP3A5"	"CYP3A5"	chr7	-	99676114	99676576	99676114	99676208	99676316	99676576
7	"CYP3A5"	"CYP3A5"	chr7	-	99662815	99664095	99662815	99662882	99663967	99664095
8	"DNHD1"	"DNHD1"	chr11	+	6497584	6498961	6497584	6497667	6497770	6498961
9	"AKAP8L"	"AKAP8L"	chr19	-	15403474	15403715	15403474	15403555	15403657	15403715
10	"DNPH1"	"DNPH1"	chr6	-	43225628	43226143	43225628	43225881	43226032	43226143
11	"TBXA2R"	"TBXA2R"	chr19	-	3594505	3595933	3594505	3595076	3595736	3595933
12	"FAM96A"	"FAM96A"	chr15	-	64072558	64075537	64072558	64073028	64075491	64075537
13	"ABL2"	"ABL2"	chr1	-	179099326	179109441	179099326	179108898	179109207	179109441
14	"VCPKMT"	"VCPKMT"	chr14	-	50116079	50116579	50116079	50116179	50116286	50116579
15	"SLC35C2"	"SLC35C2"	chr20	-	46358386	46358763	46358386	46358558	46358690	46358763
16	"EEF1B2"	"EEF1B2"	chr2	+	206159593	206160059	206159593	206159684	206159912	206160059
17	"EEF1B2"	"EEF1B2"	chr2	+	206159593	206160059	206159593	206159684	206159958	206160059
18	"SRSF10"	"SRSF10"	chr1	-	23964346	23971439	23964346	23967723	23971337	23971439
19	"TMEM136"	"TMEM136"	chr11	+	120329976	120333679	120329976	120330049	120330406	120333679
20	"TP53I3"	"TP53I3"	chr2	-	24084188	24085215	24084188	24084331	24084730	24085215
21	"SULT1A1"	"SULT1A1"	chr16	-	28608707	28609328	28608707	28608859	28609058	28609328
22	"HAGLR"	"HAGLR"	chr2	-	176177710	176178129	176177710	176177821	176178002	176178129
23	"HAGLR"	"HAGLR"	chr2	-	176177710	176178129	176177710	176177821	176178014	176178129
24	"P2RX7"	"P2RX7"	chr12	+	121177146	121177446	121177146	121177212	121177296	121177446
25	"PTPMT1"	"PTPMT1"	chr11	+	47565429	47565986	47565429	47565796	47565905	47565986
26	"PCYT1B"	"PCYT1B"	chrX	-	24558086	24562505	24558086	24562117	24562442	24562505
27	"ALDH4A1"	"ALDH4A1"	chr1	-	18871429	18872957	18871429	18871790	18872803	18872957
28	"BICD2"	"BICD2"	chr9	-	92711362	92715463	92711362	92713461	92715252	92715463
29	"SERF2"	"SERF2"	chr15	+	43793709	43796089	43793709	43793936	43794373	43796089
30	"EFHC1"	"EFHC1"	chr6	+	52452687	52454287	52452687	52452837	52454094	52454287
31	"JKAMP"	"JKAMP"	chr14	+	59484442	59485116	59484442	59484593	59484989	59485116
32	"ZFP36L1"	"ZFP36L1"	chr14	-	68787654	68790492	68787654	68788809	68789526	68790492
33	"RANGRF"	"RANGRF"	chr17	+	8289257	8290091	8289257	8289414	8289502	8290091
34	"RANGRF"	"RANGRF"	chr17	+	8289257	8290091	8289257	8289414	8289812	8290091
35	"RANGRF"	"RANGRF"	chr17	+	8289502	8290091	8289502	8289588	8289812	8290091
36	"GOLGA8B"	"GOLGA8B"	chr15	-	34532845	34534173	34532845	34532962	34534053	34534173
37	"PAK6"	"PAK6"	chr15	+	40275926	40277487	40275926	40276105	40277115	40277487
38	"TMEM231"	"TMEM231"	chr16	-	75555803	75556286	75555803	75555973	75556070	75556286
39	"MRPL4"	"MRPL4"	chr19	+	10251963	10252310	10251963	10252009	10252145	10252310
40	"GAA"	"GAA"	chr17	+	80101555	80101890	80101555	80101625	80101810	80101890
41	"ATP2A3"	"ATP2A3"	chr17	-	3923868	3925441	3923868	3924801	3925395	3925441
42	"MRPL52"	"MRPL52"	chr14	+	22829882	22830110	22829882	22829940	22830052	22830110
