ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"FCAMR"	"FCAMR"	chr1	-	206960421	206961223	206959678	206959797	206962212	206962551
2	"NFU1"	"NFU1"	chr2	-	69423581	69423717	69419537	69419604	69431901	69432005
3	"NFU1"	"NFU1"	chr2	-	69400363	69400538	69396112	69396290	69406021	69406082
4	"ZRANB3"	"ZRANB3"	chr2	-	135271300	135271395	135268961	135269141	135271767	135271887
5	"NEDD9"	"NEDD9"	chr6	-	11305065	11305159	11213280	11213727	11305991	11306155
6	"NEDD9"	"NEDD9"	chr6	-	11200270	11200421	11193590	11193692	11213280	11213727
7	"NEDD9"	"NEDD9"	chr6	-	11213280	11213727	11193590	11193692	11232503	11232682
8	"AARSD1"	"AARSD1"	chr17	-	42953723	42953778	42951799	42951894	42954875	42954967
9	"AARSD1"	"AARSD1"	chr17	-	42956203	42956320	42955841	42955972	42956403	42956560
10	"AARSD1"	"AARSD1"	chr17	-	42956203	42956320	42955157	42955224	42956403	42956560
11	"AARSD1"	"AARSD1"	chr17	-	42954875	42954967	42951799	42951894	42955157	42955224
12	"AARSD1"	"AARSD1"	chr17	-	42951799	42951894	42950525	42950728	42954875	42954967
13	"AARSD1"	"AARSD1"	chr17	-	42955841	42955972	42955157	42955224	42956203	42956320
14	"AARSD1"	"AARSD1"	chr17	-	42955841	42955972	42955157	42955224	42956403	42956560
15	"LINC00152"	"LINC00152"	chr2	+	87472739	87472885	87455454	87455645	87521206	87521511
16	"LINC00152"	"LINC00152"	chr2	+	87478121	87478230	87455454	87455645	87480222	87480423
17	"LINC00152"	"LINC00152"	chr2	+	87480222	87480423	87455454	87455645	87521206	87521511
18	"GABRR1"	"GABRR1"	chr6	-	89203434	89203485	89201158	89201265	89217200	89217777
19	"TRAF5"	"TRAF5"	chr1	+	211365375	211365468	211361087	211361162	211369451	211369592
20	"RUNX1"	"RUNX1"	chr21	-	34834409	34834601	34799300	34799462	34859473	34859578
21	"HOPX"	"HOPX"	chr4	-	56657774	56657899	56655856	56656012	56681254	56681706
22	"HOPX"	"HOPX"	chr4	-	56650682	56650812	56647987	56648797	56655856	56656012
23	"ELK3"	"ELK3"	chr12	+	96246939	96247734	96223564	96223773	96259730	96259853
24	"ELK3"	"ELK3"	chr12	+	96259730	96259853	96246939	96247734	96267081	96269835
25	"FOXM1"	"FOXM1"	chr12	-	2861298	2861412	2857680	2859663	2864319	2864495
26	"FOXM1"	"FOXM1"	chr12	-	2865354	2865399	2864682	2864752	2866392	2866521
27	"TSEN54"	"TSEN54"	chr17	+	75523662	75523779	75523274	75523335	75524261	75524739
28	"C8B"	"C8B"	chr1	-	56959528	56959657	56956768	56956910	56960019	56960176
29	"C8B"	"C8B"	chr1	-	56963771	56963993	56960019	56960176	56965856	56966140
30	"BCL9L"	"BCL9L"	chr11	-	118903235	118903452	118902989	118903074	118907482	118907602
31	"EXT1"	"EXT1"	chr8	-	117812871	117812961	117807216	117807377	117818434	117818530
32	"SGK1"	"SGK1"	chr6	-	134173022	134173154	134172661	134172774	134173273	134173357
33	"AP1B1"	"AP1B1"	chr22	-	29339753	29339774	29338989	29339133	29340655	29340857
34	"AP1B1"	"AP1B1"	chr22	-	29329711	29329720	29327679	29328895	29330377	29330532
35	"WDR62"	"WDR62"	chr19	+	36103155	36103207	36102947	36103074	36103342	36103981
36	"HSF1"	"HSF1"	chr8	+	144313845	144313911	144313510	144313616	144313984	144314054
37	"HSF1"	"HSF1"	chr8	+	144311173	144311249	144309771	144309896	144311320	144311382
38	"C17orf85"	"C17orf85"	chr17	-	3840099	3840205	3829242	3829368	3843085	3843151
39	"C17orf85"	"C17orf85"	chr17	-	3821248	3821352	3818262	3818572	3821952	3822052
40	"ZNF252P"	"ZNF252P"	chr8	-	144996506	144996607	144994478	144994592	144999602	144999769
41	"NWD1"	"NWD1"	chr19	+	16721394	16721617	16719975	16720293	16724365	16724463
42	"NWD1"	"NWD1"	chr19	+	16812744	16812850	16807585	16808136	16815027	16817963
43	"STXBP5L"	"STXBP5L"	chr3	+	121282265	121282337	121279804	121279956	121318474	121318540
44	"TP53INP1"	"TP53INP1"	chr8	-	94932069	94932107	94925971	94930728	94939859	94940220
45	"TAZ"	"TAZ"	chrX	+	154414100	154414190	154413481	154413567	154419542	154419623
46	"TAZ"	"TAZ"	chrX	+	154419704	154419746	154419542	154419623	154420031	154420094
47	"CPPED1"	"CPPED1"	chr16	-	12704623	12705049	12659798	12665115	12781184	12781403
48	"PGS1"	"PGS1"	chr17	+	78414878	78415027	78403567	78404089	78419545	78419725
49	"PGS1"	"PGS1"	chr17	+	78396307	78396385	78392475	78392665	78398251	78398351
50	"PGS1"	"PGS1"	chr17	+	78414951	78415027	78403567	78404089	78419545	78419675
51	"PGS1"	"PGS1"	chr17	+	78392475	78392665	78378617	78378808	78396307	78396385
52	"PGS1"	"PGS1"	chr17	+	78400734	78400855	78399347	78399537	78403567	78404089
53	"PGS1"	"PGS1"	chr17	+	78400676	78400855	78399347	78399537	78403567	78404089
54	"DHX57"	"DHX57"	chr2	-	38860998	38861837	38858660	38858836	38862144	38862333
55	"DHX57"	"DHX57"	chr2	-	38828339	38828436	38826515	38826689	38837830	38837947
56	"DHX57"	"DHX57"	chr2	-	38818876	38818960	38815520	38815655	38819048	38819144
57	"CHD1"	"CHD1"	chr5	-	98873592	98873723	98872416	98872555	98875071	98875113
58	"CYP3A5"	"CYP3A5"	chr7	-	99676316	99676576	99676114	99676208	99679825	99680026
59	"CYP3A5"	"CYP3A5"	chr7	-	99672783	99672915	99672579	99672679	99674532	99674585
60	"TDP1"	"TDP1"	chr14	+	89956577	89956800	89955901	89955970	89963107	89963673
61	"T"	"T"	chr6	-	166162446	166162620	166160836	166160966	166164604	166164666
62	"ATXN10"	"ATXN10"	chr22	+	45689711	45689903	45671797	45672179	45692995	45693078
63	"CRIM1"	"CRIM1"	chr2	+	36396613	36396787	36356226	36356623	36441257	36441500
64	"CRIM1"	"CRIM1"	chr2	+	36537351	36537546	36522091	36522313	36544375	36544498
65	"BABAM1"	"BABAM1"	chr19	+	17273903	17274024	17271596	17271655	17276494	17276624
66	"DOCK5"	"DOCK5"	chr8	+	25268844	25268885	25243673	25243757	25275385	25275441
67	"CD86"	"CD86"	chr3	+	122103511	122103847	122091600	122091650	122106197	122106500
68	"CD86"	"CD86"	chr3	+	122109264	122109408	122106197	122106500	122118047	122118093
69	"CD86"	"CD86"	chr3	+	122091600	122091650	122055361	122055503	122103511	122103847
70	"C16orf87"	"C16orf87"	chr16	-	46809602	46809785	46802046	46803070	46824385	46824482
71	"DNHD1"	"DNHD1"	chr11	+	6547862	6548040	6544791	6547666	6548209	6548402
72	"ATP5C1"	"ATP5C1"	chr10	+	7799771	7799915	7798989	7799194	7800026	7800091
73	"ATP5C1"	"ATP5C1"	chr10	+	7806973	7807010	7802757	7802854	7807658	7807799
74	"ATP5C1"	"ATP5C1"	chr10	+	7796120	7796155	7788129	7788263	7797046	7797178
75	"ZNF548"	"ZNF548"	chr19	+	57394187	57394223	57389849	57390114	57397047	57397174
76	"MGAT5"	"MGAT5"	chr2	+	134270385	134270550	134254258	134254644	134317528	134317605
77	"PRKACB"	"PRKACB"	chr1	+	84175798	84175807	84175032	84175056	84179176	84179238
78	"PRKACB"	"PRKACB"	chr1	+	84184036	84184135	84182199	84182328	84185099	84185182
79	"DTNA"	"DTNA"	chr18	+	34829399	34829489	34827592	34827676	34848295	34848383
80	"DTNA"	"DTNA"	chr18	+	34829399	34829489	34827592	34827676	34838093	34838171
81	"DTNA"	"DTNA"	chr18	+	34866110	34866131	34863965	34864062	34875238	34875398
82	"DTNA"	"DTNA"	chr18	+	34825266	34825275	34820790	34820915	34827592	34827676
83	"DTNA"	"DTNA"	chr18	+	34838093	34838171	34827592	34827676	34848295	34848383
84	"DTNA"	"DTNA"	chr18	+	34838093	34838171	34829399	34829489	34848295	34848383
85	"DTNA"	"DTNA"	chr18	+	34838744	34838837	34838093	34838171	34848295	34848383
86	"RPL19"	"RPL19"	chr17	+	39204076	39204187	39202988	39203109	39204524	39204727
