"unique_NM","gene","code"
"NR_038166","0610005C13Rik",1
"NR_038165","0610005C13Rik",9
"NM_021446","0610007P14Rik",0
"NM_025319","0610009B22Rik",0
"NR_038126","0610009L18Rik",0
"NM_024179","0610009O20Rik",0
"NM_001177543_3","0610010B08Rik",0
"NM_001177543_4","0610010B08Rik",0
"NM_001177543_5","0610010B08Rik",0
"NM_001177543_2","0610010B08Rik",0
"NM_001177543_1","0610010B08Rik",0
"NM_001177543","0610010B08Rik",0
"NM_027860","0610010F05Rik",1
"NM_145758","0610010K14Rik",11
"NM_026757","0610010K14Rik",19
"NM_001177607","0610010K14Rik",3000
"NM_001177603","0610010K14Rik",9901
"NM_001177606","0610010K14Rik",9909
"NM_001177601","0610010K14Rik",101
"NM_026686","0610011F06Rik",1
"NR_027897","0610012G03Rik",0
"NM_026696","0610030E20Rik",0
"NM_020003","0610031J06Rik",0
"NR_045760","0610031O16Rik",0
"NM_028754","0610037L13Rik",0
"NR_028125","0610038B21Rik",0
"NR_028113","0610039K10Rik",0
"NR_027874","0610040B10Rik",0
"NR_104577","0610040F04Rik",0
"NR_040758","0610040F04Rik",0
"NR_040757","0610040F04Rik",0
"NM_029554","0610040J01Rik",0
"NR_040640","0610043K17Rik",1
"NR_105023","1010001N08Rik",0
"NR_105022","1010001N08Rik",0
"NM_183249","1100001G20Rik",0
"NM_025363","1110001J03Rik",0
"NR_030694","1110002L01Rik",0
"NM_026502","1110004E09Rik",0
"NM_019772","1110004F10Rik",0
"NR_027810","1110006O24Rik",0
"NM_026738","1110007C09Rik",0
"NM_026124","1110008F13Rik",1
"NM_025373","1110008L16Rik",0
"NM_198001","1110008P14Rik",0
"NM_026787","1110012L19Rik",0
"NR_045272","1110015O18Rik",0
"NR_045551","1110017D15Rik",9109
"NR_045549","1110017D15Rik",90010
"NM_001048005","1110017D15Rik",90
"NM_001253788","1110017D15Rik",90
"NM_028624","1110017D15Rik",9901
"NM_001253778","1110017D15Rik",1909
"NM_001253777","1110017D15Rik",20090
"NM_001253780","1110017D15Rik",9909
"NR_045995","1110019D14Rik",1
"NR_027929","1110020A21Rik",0
"NR_027930","1110020A21Rik",0
"NM_001276278","1110025L11Rik",0
"NR_045139","1110028F11Rik",0
"NR_045470","1110028F18Rik",0
"NM_023483","1110032A03Rik",1
"NM_001167996","1110032F04Rik",0
"NM_028637","1110034G24Rik",0
"NR_040713","1110036E04Rik",0
"NM_001081183","1110037F02Rik",11
