ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1	"Mefv"	"Mefv"	chr16	-	3715192	3716128	3715282	3716128	3713485	3713829
2	"Alg12"	"Alg12"	chr15	-	88814428	88814648	88814453	88814648	88806557	88806721
3	"Pdcd6ip"	"Pdcd6ip"	chr9	-	113657076	113657209	113657085	113657209	113656016	113656207
4	"Nlgn1"	"Nlgn1"	chr3	-	25439864	25440077	25439891	25440077	25435852	25436642
5	"Adra1a"	"Adra1a"	chr14	+	66727445	66728000	66727445	66727831	66731563	66733462
6	"Crk"	"Crk"	chr11	+	75692196	75692732	75692196	75692562	75703365	75708428
7	"Pwwp2b"	"Pwwp2b"	chr7	+	139254769	139256465	139254769	139256160	139266471	139267253
8	"Aplf"	"Aplf"	chr6	-	87671859	87672168	87671989	87672168	87668415	87668487
9	"Zscan22"	"Zscan22"	chr7	+	12897808	12897943	12897808	12897877	12903600	12904085
10	"Zscan22"	"Zscan22"	chr7	+	12897808	12897980	12897808	12897943	12903600	12904085
11	"Zscan22"	"Zscan22"	chr7	+	12897808	12897980	12897808	12897877	12903600	12904085
12	"Zscan22"	"Zscan22"	chr7	+	12897808	12897943	12897808	12897877	12906233	12909083
13	"Zscan22"	"Zscan22"	chr7	+	12897808	12897980	12897808	12897943	12906233	12909083
14	"Zscan22"	"Zscan22"	chr7	+	12897808	12897980	12897808	12897877	12906233	12909083
15	"Tcf7l2"	"Tcf7l2"	chr19	+	55910578	55910681	55910578	55910669	55912558	55912645
16	"Nr1h4"	"Nr1h4"	chr10	-	89483371	89483524	89483383	89483524	89480490	89480627
17	"Mavs"	"Mavs"	chr2	+	131234062	131234355	131234062	131234127	131238735	131238910
18	"Rnf41"	"Rnf41"	chr10	+	128435312	128435584	128435312	128435568	128436467	128436603
19	"Tspan8"	"Tspan8"	chr10	+	115817283	115817386	115817283	115817350	115817492	115817660
20	"Med15"	"Med15"	chr16	-	17652704	17652807	17652708	17652807	17651207	17652263
21	"Suv420h2"	"Suv420h2"	chr7	+	4740126	4740239	4740126	4740181	4741779	4741981
22	"Csn2"	"Csn2"	chr5	-	87699363	87699425	87699378	87699425	87698027	87698090
23	"Ndor1"	"Ndor1"	chr2	-	25255149	25255414	25255216	25255414	25254863	25254941
24	"Smarcc2"	"Smarcc2"	chr10	+	128487933	128488359	128487933	128488017	128488895	128490174
25	"Fut7"	"Fut7"	chr2	+	25423241	25423336	25423241	25423308	25423745	25423968
26	"Aatk"	"Aatk"	chr11	-	120046585	120047145	120046868	120047145	120021401	120021535
27	"Scgb3a2"	"Scgb3a2"	chr18	+	43766703	43766966	43766703	43766900	43767230	43767399
28	"Asnsd1"	"Asnsd1"	chr1	-	53347014	53348558	53348445	53348558	53346579	53346761
29	"Stk16"	"Stk16"	chr1	+	75210828	75211052	75210828	75211024	75211239	75211414
30	"Ube2t"	"Ube2t"	chr1	+	134962564	134962786	134962564	134962609	134967726	134967898
31	"Ccdc169"	"Ccdc169"	chr3	+	55140037	55140268	55140037	55140172	55142240	55142320
32	"3110062M04Rik"	"3110062M04Rik"	chr6	-	34877574	34878065	34877899	34878065	34876538	34876771
33	"5730507C01Rik"	"5730507C01Rik"	chr12	+	18514509	18514935	18514509	18514863	18531609	18531736
34	"Tsc1"	"Tsc1"	chr2	+	28641232	28641319	28641232	28641290	28652168	28652231
35	"Il15ra"	"Il15ra"	chr2	+	11718263	11718458	11718263	11718342	11724095	11724128
36	"Il15ra"	"Il15ra"	chr2	+	11718263	11718458	11718263	11718342	11723412	11723610
37	"Il15ra"	"Il15ra"	chr2	+	11718263	11718458	11718263	11718342	11720012	11720105
38	"Fbxw10"	"Fbxw10"	chr11	+	62873370	62873544	62873370	62873529	62874941	62875189
39	"Cabyr"	"Cabyr"	chr18	+	12750659	12751828	12750659	12751004	12754343	12754463
40	"Cabyr"	"Cabyr"	chr18	+	12750659	12751828	12750659	12751004	12753860	12754463
41	"Atp1b4"	"Atp1b4"	chrX	+	38320510	38320772	38320510	38320760	38324644	38324773
42	"Trmt1"	"Trmt1"	chr8	+	84689246	84689376	84689246	84689349	84689631	84689908
43	"Dnajc28"	"Dnajc28"	chr16	-	91618587	91618999	91618757	91618999	91614256	91617379
44	"Treml1"	"Treml1"	chr17	+	48364858	48365012	48364858	48364997	48365507	48365593
45	"Treml1"	"Treml1"	chr17	+	48360134	48360467	48360134	48360238	48364858	48364997
46	"Celf3"	"Celf3"	chr3	+	94487134	94487388	94487134	94487284	94487786	94487852
47	"Tmem106c"	"Tmem106c"	chr15	+	97964228	97964503	97964228	97964335	97964839	97965030
48	"4930579F01Rik"	"4930579F01Rik"	chr3	-	138186143	138186713	138186260	138186713	138183583	138183790
49	"Swi5"	"Swi5"	chr2	-	32287885	32288069	32288030	32288069	32287596	32287645
50	"Ipcef1"	"Ipcef1"	chr10	-	6935174	6935275	6935186	6935275	6917553	6920086
51	"Eda"	"Eda"	chrX	+	100395018	100395149	100395018	100395107	100396904	100400760
52	"Eda"	"Eda"	chrX	+	100395018	100395149	100395018	100395143	100396904	100400760
53	"Eda"	"Eda"	chrX	+	100395674	100395830	100395674	100395813	100396904	100400760
54	"Eda"	"Eda"	chrX	+	100395018	100395143	100395018	100395107	100396904	100400760
55	"Zbtb33"	"Zbtb33"	chrX	+	38189792	38190082	38189792	38189908	38192214	38197046
56	"Glycam1"	"Glycam1"	chr15	-	103563204	103563458	103563242	103563458	103562759	103563014
57	"Zfp60"	"Zfp60"	chr7	+	27731408	27731664	27731408	27731470	27736935	27736988
58	"Hnrnpr"	"Hnrnpr"	chr4	+	136316360	136316484	136316360	136316479	136317083	136317191
59	"Stx11"	"Stx11"	chr10	-	12963999	12964259	12964114	12964259	12939982	12941983
60	"Gm8898"	"Gm8898"	chr2	+	175918282	175921568	175918282	175919920	175922721	175922782
61	"Gm8898"	"Gm8898"	chr2	+	175690880	175694166	175690880	175692518	175695319	175695380
62	"Gm3458"	"Gm3458"	chr9	-	71213406	71213739	71213699	71213739	71211912	71212433
63	"Ccdc30"	"Ccdc30"	chr4	-	119393541	119393657	119393556	119393657	119359557	119359737
64	"Cuedc1"	"Cuedc1"	chr11	+	88188782	88188850	88188782	88188841	88190054	88190125
65	"Kifc3"	"Kifc3"	chr8	-	95106462	95106644	95106492	95106644	95105719	95105824
66	"Upf1"	"Upf1"	chr8	-	70339981	70340099	70340014	70340099	70339742	70339841
67	"Iqsec2"	"Iqsec2"	chrX	+	152216340	152216466	152216340	152216439	152218876	152218976
68	"Bhlhb9"	"Bhlhb9"	chrX	+	135885850	135886097	135885850	135886087	135886844	135886926
69	"Fam131b"	"Fam131b"	chr6	-	42324441	42324640	42324501	42324640	42321906	42322016
70	"Tardbp"	"Tardbp"	chr4	-	148618646	148618791	148618664	148618791	148612381	148617705
71	"Tardbp"	"Tardbp"	chr4	-	148618646	148618791	148618673	148618791	148612381	148617705
72	"Tardbp"	"Tardbp"	chr4	-	148618664	148618791	148618673	148618791	148612381	148617705
73	"Cnot4"	"Cnot4"	chr6	-	35064888	35065022	35064897	35065022	35056210	35056268
74	"Zfp322a"	"Zfp322a"	chr13	-	23368856	23369208	23369134	23369208	23368119	23368205
75	"Anxa7"	"Anxa7"	chr14	-	20479779	20480133	20479894	20480133	20473274	20473329
76	"Kcnrg"	"Kcnrg"	chr14	+	61607456	61608106	61607456	61608072	61611651	61612833
77	"Lins"	"Lins"	chr7	+	66708638	66708743	66708638	66708728	66709293	66709435
78	"Derl2"	"Derl2"	chr11	-	71019108	71019303	71019143	71019303	71018311	71018377
79	"Crip3"	"Crip3"	chr17	+	46431175	46431292	46431175	46431233	46431378	46431771
80	"Gtpbp8"	"Gtpbp8"	chr16	-	44745998	44746363	44746199	44746363	44745394	44745493
81	"Mid1"	"Mid1"	chrX	+	169926953	169927669	169926953	169927555	169966062	169966158
82	"Parp6"	"Parp6"	chr9	+	59630618	59630829	59630618	59630769	59631339	59631393
83	"Xlr"	"Xlr"	chrX	-	53797623	53797706	53797631	53797706	53796142	53796220
84	"Calr4"	"Calr4"	chr4	+	109235261	109235632	109235261	109235622	109235773	109235875
85	"Aimp2"	"Aimp2"	chr5	-	143909580	143909839	143909700	143909839	143906548	143906755
86	"Sbsn"	"Sbsn"	chr7	+	30751470	30753469	30751470	30751915	30754808	30754880
87	"Plcxd1"	"Plcxd1"	chr5	+	110101799	110101930	110101799	110101928	110102175	110102331
88	"Madd"	"Madd"	chr2	-	91158404	91158488	91158407	91158488	91157984	91158143
89	"St6galnac6"	"St6galnac6"	chr2	+	32608041	32608225	32608041	32608096	32609225	32609316
90	"St6galnac6"	"St6galnac6"	chr2	+	32614780	32615187	32614780	32615168	32618496	32618604
91	"Dxo"	"Dxo"	chr17	+	34837018	34837241	34837018	34837216	34837392	34837754
92	"Dlg1"	"Dlg1"	chr16	+	31796865	31797010	31796865	31796965	31805613	31805734
93	"Rnf126"	"Rnf126"	chr10	-	79766752	79766952	79766875	79766952	79762646	79762705
94	"Agtpbp1"	"Agtpbp1"	chr13	-	59557097	59557347	59557222	59557347	59544386	59544451
95	"Slc4a4"	"Slc4a4"	chr5	+	89046212	89046392	89046212	89046365	89084641	89084718
96	"Trpm3"	"Trpm3"	chr19	+	22885347	22885482	22885347	22885428	22889393	22889444
97	"Trpm3"	"Trpm3"	chr19	+	22925895	22926106	22925895	22926070	22978291	22978442
98	"Cipc"	"Cipc"	chr12	+	86952743	86953004	86952743	86952931	86959727	86959828
99	"Dip2b"	"Dip2b"	chr15	+	100155033	100155156	100155033	100155153	100157169	100157367
100	"Cldn18"	"Cldn18"	chr9	-	99696053	99696176	99696065	99696176	99690796	99692894
101	"Adarb1"	"Adarb1"	chr10	-	77312347	77312526	77312377	77312526	77311105	77311274
102	"Ppil3"	"Ppil3"	chr1	-	58444810	58445486	58445331	58445486	58444588	58444639
103	"Ppil3"	"Ppil3"	chr1	-	58445145	58445486	58445331	58445486	58444588	58444639
104	"Ppil3"	"Ppil3"	chr1	-	58444810	58445486	58445145	58445486	58444588	58444639
105	"1110017D15Rik"	"1110017D15Rik"	chr4	-	41507093	41507269	41507098	41507269	41505567	41505654
106	"Bbip1"	"Bbip1"	chr19	-	53944155	53944627	53944416	53944627	53943465	53943579
107	"Smpd4"	"Smpd4"	chr16	+	17639744	17639845	17639744	17639842	17640125	17640289
108	"Stat1"	"Stat1"	chr1	+	52119437	52119623	52119437	52119608	52119911	52120072
109	"Stat1"	"Stat1"	chr1	+	52119911	52120072	52119911	52120035	52122590	52122721
110	"Itk"	"Itk"	chr11	-	46360271	46360321	46360280	46360321	46355724	46355876
111	"Htr1d"	"Htr1d"	chr4	+	136423523	136423775	136423523	136423597	136423971	136424129
112	"Phc3"	"Phc3"	chr3	-	30969358	30969415	30969373	30969415	30965772	30965935
113	"Cd1d2"	"Cd1d2"	chr3	+	86986987	86987260	86986987	86987146	86987542	86987821
114	"Artn"	"Artn"	chr4	-	117927156	117927299	117927160	117927299	117926159	117927068
115	"Mdk"	"Mdk"	chr2	-	91931533	91931702	91931626	91931702	91931371	91931448
116	"Ubr3"	"Ubr3"	chr2	+	69991424	69991637	69991424	69991625	69993675	69993812
117	"Trim40"	"Trim40"	chr17	-	36883148	36883364	36883250	36883364	36882641	36882664
118	"Sept6"	"Sept6"	chrX	-	36989378	36989695	36989381	36989695	36975062	36975177
119	"Rhoc"	"Rhoc"	chr3	+	104789033	104789101	104789033	104789083	104791888	104792052
120	"Ap3m2"	"Ap3m2"	chr8	-	22805513	22805654	22805575	22805654	22803759	22804102
121	"Oprl1"	"Oprl1"	chr2	+	181715689	181715946	181715689	181715931	181716501	181716535
122	"Chpt1"	"Chpt1"	chr10	-	88475332	88475536	88475425	88475536	88472812	88472984
123	"Plekhg2"	"Plekhg2"	chr7	-	28371636	28372662	28371859	28372662	28371114	28371245
124	"Azi2"	"Azi2"	chr9	+	118040521	118040958	118040521	118040876	118047412	118047633
125	"Mocs1"	"Mocs1"	chr17	+	49452794	49452857	49452794	49452842	49454029	49455430
126	"Tmem247"	"Tmem247"	chr17	+	86918250	86918589	86918250	86918586	86922185	86922367
127	"Zfp473"	"Zfp473"	chr7	-	44747909	44748349	44748228	44748349	44741688	44741865
128	"Zfp473"	"Zfp473"	chr7	-	44747909	44748349	44747935	44748349	44741688	44741865
129	"Zfp473"	"Zfp473"	chr7	-	44747935	44748349	44748228	44748349	44741688	44741865
130	"Ecsit"	"Ecsit"	chr9	-	22085348	22085427	22085356	22085427	22084022	22084208
131	"Mterf1a"	"Mterf1a"	chr5	-	3893874	3893933	3893893	3893933	3890580	3891897
132	"6820408C15Rik"	"6820408C15Rik"	chr2	+	152441215	152441343	152441215	152441302	152442373	152442492
133	"Zscan21"	"Zscan21"	chr5	+	138116904	138117007	138116904	138116988	138117835	138117920
134	"Zscan21"	"Zscan21"	chr5	+	138116904	138117007	138116904	138116988	138124977	138125690
135	"Sec23b"	"Sec23b"	chr2	+	144556228	144556342	144556228	144556324	144559206	144559441
136	"Sec23b"	"Sec23b"	chr2	+	144556228	144556342	144556228	144556324	144559217	144559441
137	"Slc25a44"	"Slc25a44"	chr3	-	88424727	88425141	88424773	88425141	88420500	88421138
138	"Ms4a2"	"Ms4a2"	chr19	-	11622042	11622177	11622162	11622177	11619616	11619673
139	"Lilrb4"	"Lilrb4"	chr10	+	51490897	51491056	51490897	51491051	51491196	51491232
140	"BC017643"	"BC017643"	chr11	-	121229038	121229309	121229212	121229309	121228327	121228470
141	"BC017643"	"BC017643"	chr11	-	121229058	121229309	121229212	121229309	121228327	121228470
142	"BC017643"	"BC017643"	chr11	-	121229038	121229309	121229058	121229309	121228327	121228470
143	"Yif1b"	"Yif1b"	chr7	+	29238322	29238445	29238322	29238436	29244069	29244302
144	"Cldn10"	"Cldn10"	chr14	+	118787870	118788370	118787870	118788313	118861695	118861857
145	"Hp1bp3"	"Hp1bp3"	chr4	+	138216611	138216799	138216611	138216740	138221525	138221723
146	"Cdh8"	"Cdh8"	chr8	-	99030838	99031058	99030875	99031058	99024470	99024957
147	"Adam19"	"Adam19"	chr11	+	46118419	46118501	46118419	46118491	46121419	46121586
148	"Runx2"	"Runx2"	chr17	-	44814456	44814627	44814489	44814627	44814168	44814292
149	"Apaf1"	"Apaf1"	chr10	-	91079446	91079636	91079479	91079636	91077533	91077731
150	"1700008F21Rik"	"1700008F21Rik"	chr8	+	129181209	129181247	129181209	129181232	129183608	129183732
151	"R3hdm2"	"R3hdm2"	chr10	+	127481692	127481794	127481692	127481755	127483975	127484218
152	"Tjp1"	"Tjp1"	chr7	-	65299669	65299813	65299729	65299813	65296164	65297667
153	"Vkorc1l1"	"Vkorc1l1"	chr5	+	129942108	129942365	129942108	129942227	129978518	129978628
154	"Clec2i"	"Clec2i"	chr6	+	128892827	128892910	128892827	128892898	128893615	128893741
155	"Rwdd2a"	"Rwdd2a"	chr9	+	86572052	86572217	86572052	86572088	86572836	86573063
156	"Snap23"	"Snap23"	chr2	+	120567670	120567806	120567670	120567761	120584268	120584365
157	"Snrpa"	"Snrpa"	chr7	-	27195990	27196271	27195993	27196271	27195443	27195556
158	"Pmis2"	"Pmis2"	chr7	-	30671365	30671605	30671499	30671605	30670721	30671180
159	"Palb2"	"Palb2"	chr7	-	122127048	122128443	122128137	122128443	122124256	122124927
160	"Stau1"	"Stau1"	chr2	-	166950780	166951100	166950939	166951100	166950230	166950353
161	"Stau1"	"Stau1"	chr2	-	166949699	166949829	166949743	166949829	166947548	166949359
162	"Snx10"	"Snx10"	chr6	+	51544522	51544752	51544522	51544649	51562017	51562064
163	"Rad17"	"Rad17"	chr13	-	100650821	100651061	100650949	100651061	100649677	100649781
164	"Plscr2"	"Plscr2"	chr9	+	92275601	92276018	92275601	92276013	92282111	92282192
165	"Rasgrp4"	"Rasgrp4"	chr7	+	29148986	29149146	29148986	29149131	29149798	29149835
166	"Gng2"	"Gng2"	chr14	-	19976957	19977249	19977145	19977249	19960653	19960694
167	"Zmym3"	"Zmym3"	chrX	-	101420145	101420222	101420158	101420222	101418272	101418952
168	"Zmym3"	"Zmym3"	chrX	-	101409611	101409780	101409632	101409780	101409153	101409305
169	"Cebpzos"	"Cebpzos"	chr17	+	78916498	78916693	78916498	78916525	78918356	78918472
170	"Zfp386"	"Zfp386"	chr12	+	116054721	116054953	116054721	116054848	116058904	116063207
171	"Zfp386"	"Zfp386"	chr12	+	116054721	116054848	116054721	116054817	116058904	116063207
172	"Zfp386"	"Zfp386"	chr12	+	116054721	116054953	116054721	116054817	116058904	116063207
173	"Gm8883"	"Gm8883"	chr1	+	71888111	71888521	71888111	71888201	71888618	71888714
174	"Tcp10a"	"Tcp10a"	chr17	+	7324659	7324901	7324659	7324749	7325389	7325516
175	"Fbxo6"	"Fbxo6"	chr4	-	148151613	148151925	148151829	148151925	148149378	148149666
