ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1	"MECR"	"MECR"	chr1	-	29216587	29216812	29216587	29216685	29230730	29230958
2	"PCDH18"	"PCDH18"	chr4	-	137528731	137528820	137528731	137528817	137529601	137532498
3	"FOXM1"	"FOXM1"	chr12	-	2872095	2872247	2872095	2872244	2873976	2874525
4	"FOXM1"	"FOXM1"	chr12	-	2864682	2864755	2864682	2864752	2866392	2866521
5	"DERL3"	"DERL3"	chr22	-	70864	73324	70864	71294	73425	73516
6	"DERL3"	"DERL3"	chr22	-	23834502	23836962	23834502	23834932	23837063	23837154
7	"AP1B1"	"AP1B1"	chr22	-	29334264	29334410	29334264	29334350	29338989	29339133
8	"WDR62"	"WDR62"	chr19	+	36102736	36102851	36102751	36102851	36102013	36102151
9	"THRA"	"THRA"	chr17	+	40093019	40093867	40093136	40093867	40089205	40089333
10	"PPP1R10"	"PPP1R10"	chr6	-	1948634	1948782	1948634	1948721	1949040	1949141
11	"PPP1R10"	"PPP1R10"	chr6	-	1859676	1859824	1859676	1859763	1860082	1860183
12	"PPP1R10"	"PPP1R10"	chr6	-	30604587	30604735	30604587	30604674	30604993	30605094
13	"PPP1R10"	"PPP1R10"	chr6	-	1860417	1860565	1860417	1860504	1860823	1860924
14	"PPP1R10"	"PPP1R10"	chr6	-	2084311	2084459	2084311	2084398	2084717	2084818
15	"PPP1R10"	"PPP1R10"	chr6	-	1914816	1914964	1914816	1914903	1915222	1915323
16	"PPP1R10"	"PPP1R10"	chr6	-	1905345	1905493	1905345	1905432	1905751	1905852
17	"PGS1"	"PGS1"	chr17	+	78392475	78392665	78392513	78392665	78378617	78378808
18	"PGS1"	"PGS1"	chr17	+	78414878	78415027	78414951	78415027	78403567	78404089
19	"PGS1"	"PGS1"	chr17	+	78400676	78400855	78400734	78400855	78399347	78399537
20	"CYP3A5"	"CYP3A5"	chr7	-	99676114	99676576	99676114	99676208	99679825	99680026
21	"CYP3A5"	"CYP3A5"	chr7	-	99672579	99672698	99672579	99672679	99672783	99672915
22	"T"	"T"	chr6	-	166167385	166167768	166167385	166167675	166168327	166168669
23	"BABAM1"	"BABAM1"	chr19	+	17268755	17269091	17268793	17269091	17267375	17267527
24	"REG3A"	"REG3A"	chr2	-	79159329	79159439	79159329	79159416	79159727	79159754
25	"PRKACB"	"PRKACB"	chr1	+	84204478	84205439	84204481	84205439	84202682	84202805
26	"ZNF573"	"ZNF573"	chr19	-	37771563	37771696	37771563	37771690	37773660	37773751
27	"SNRPB"	"SNRPB"	chr20	-	2461634	2461939	2461634	2461793	2462635	2462761
28	"ZNF764"	"ZNF764"	chr16	-	30553763	30556110	30553763	30556107	30557732	30557846
29	"LRRTM4"	"LRRTM4"	chr2	-	77521667	77521818	77521667	77521748	77522108	77522376
30	"LOC100132304"	"LOC100132304"	chrX	-	72782171	72782347	72782171	72782335	72782524	72782660
31	"IFI27L1"	"IFI27L1"	chr14	+	1211402	1211527	1211448	1211527	1195854	1196011
32	"IFI27L1"	"IFI27L1"	chr14	+	94096840	94096965	94096886	94096965	94081292	94081449
33	"GSPT1"	"GSPT1"	chr16	-	11896557	11896785	11896557	11896782	11897839	11897881
34	"UROD"	"UROD"	chr1	+	45012856	45013019	45012906	45013019	45012132	45012285
35	"IQSEC1"	"IQSEC1"	chr3	-	12897042	12901522	12897042	12899434	12902772	12902822
36	"SLC35A2"	"SLC35A2"	chrX	-	48903611	48905482	48903611	48904892	48906391	48906543
37	"ZDHHC14"	"ZDHHC14"	chr6	+	157672723	157673945	157672768	157673945	157653524	157653627
38	"KIAA0922"	"KIAA0922"	chr4	+	153584834	153584931	153584837	153584931	153583563	153583672
